course_name,instructor,question_text,answer
Sample Course,Dr. Example,Did you enjoy the course?,Completely agree
Sample Course,Dr. Example,Was the material clear?,Somewhat agree
Advanced Python,Dr. Code,Did you feel challenged?,Completely disagree
Sample Course,Dr. Example,At the beginning of the course the instructor explained its objectives and requirements.,Agree
Sample Course,Dr. Example,The course was well organized and systematic.,Somewhat agree
Sample Course,Dr. Example,The content of the course did not overlap with other courses.,Agree
Sample Course,Dr. Example,The instructor presented the course topics in an understandable way.,Completely agree
Sample Course,Dr. Example,The course was intellectually stimulating and encouraged interest.,Agree
Sample Course,Dr. Example,The instructor provided feedback on my performance.,Disagree
Sample Course,Dr. Example,The instructor's attitude toward students was respectful and accommodating.,Agree
Sample Course,Dr. Example,I would gladly attend another course with this instructor.,Completely agree
Sample Course,Dr. Example,I would gladly attend another course with this instructor.,Completely agree
Advanced Python,Dr. Code,What did you like the most in this course?,The teacher was great
Advanced Python,Dr. Code,What did you like the most in this course?,I liked the teacher and their attitude
Advanced Python,Dr. Code,What did you like the most in this course?,Teacher made it fun
Advanced Python,Dr. Code,What did you like the most in this course?,Nothing
Advanced Python,Dr. Code,What could be improved?,The presentations
Advanced Python,Dr. Code,What could be improved?,Presentations needed work
Advanced Python,Dr. Code,What could be improved?,The text in the presentations was too small
Advanced Python,Dr. Code,What could be improved?,It was difficuly to access the presentations
course_name,instructor,question_text,answer
Advanced Machine Learning,Prof. AI,Was the material clear?,Completely disagree
Data Visualization Basics,Dr. Charts,The instructor presented the course topics in an understandable way.,Somewhat disagree
Advanced Machine Learning,Prof. AI,The instructor's attitude toward students was respectful and accommodating.,Completely agree
Advanced Machine Learning,Prof. AI,The instructor provided feedback on my performance.,Somewhat agree
Introduction to Python,Dr. Code,Was the material clear?,Completely disagree
Data Visualization Basics,Dr. Charts,The course was intellectually stimulating and encouraged interest.,Completely agree
Advanced Machine Learning,Prof. AI,At the beginning of the course the instructor explained its objectives and requirements.,Somewhat agree
Introduction to Python,Dr. Code,At the beginning of the course the instructor explained its objectives and requirements.,Completely disagree
Data Visualization Basics,Dr. Charts,Did you enjoy the course?,Neither agree nor disagree
Data Visualization Basics,Dr. Charts,The content of the course did not overlap with other courses.,Disagree
Advanced Machine Learning,Prof. AI,Did you feel challenged?,Somewhat agree
Data Visualization Basics,Dr. Charts,At the beginning of the course the instructor explained its objectives and requirements.,Neither agree nor disagree
Data Visualization Basics,Dr. Charts,Did you feel challenged?,Agree
Data Visualization Basics,Dr. Charts,Did you feel challenged?,Neither agree nor disagree
Introduction to Python,Dr. Code,Was the material clear?,Agree
Advanced Machine Learning,Prof. AI,The instructor's attitude toward students was respectful and accommodating.,Agree
Advanced Machine Learning,Prof. AI,The course was well organized and systematic.,Somewhat agree
Introduction to Python,Dr. Code,The instructor presented the course topics in an understandable way.,Neither agree nor disagree
Introduction to Python,Dr. Code,Was the material clear?,Completely agree
Data Visualization Basics,Dr. Charts,The instructor's attitude toward students was respectful and accommodating.,Disagree
Data Visualization Basics,Dr. Charts,Was the material clear?,Neither agree nor disagree
Advanced Machine Learning,Prof. AI,The content of the course did not overlap with other courses.,Neither agree nor disagree
Introduction to Python,Dr. Code,Did you feel challenged?,Agree
Introduction to Python,Dr. Code,I would gladly attend another course with this instructor.,Somewhat disagree
Introduction to Python,Dr. Code,The instructor's attitude toward students was respectful and accommodating.,Somewhat disagree
Introduction to Python,Dr. Code,Did you enjoy the course?,Agree
Data Visualization Basics,Dr. Charts,Did you feel challenged?,Somewhat disagree
Data Visualization Basics,Dr. Charts,The course was well organized and systematic.,Neither agree nor disagree
Introduction to Python,Dr. Code,The course was well organized and systematic.,Disagree
Data Visualization Basics,Dr. Charts,I would gladly attend another course with this instructor.,Completely disagree
Advanced Machine Learning,Prof. AI,At the beginning of the course the instructor explained its objectives and requirements.,Agree
Data Visualization Basics,Dr. Charts,The instructor provided feedback on my performance.,Disagree
Introduction to Python,Dr. Code,The course was well organized and systematic.,Neither agree nor disagree
Introduction to Python,Dr. Code,The course was intellectually stimulating and encouraged interest.,Disagree
